RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
JWJ000;JWJ999;HUILA;NEIVA;PARTICULAR
JWK000;JWN999;VALLE;YUMBO;PARTICULAR
JZA000;JZA300;HUILA;GARZON;PARTICULAR
JZE000;JZF000;HUILA;PITALITO;PARTICULAR
JZJ001;JZJ999;HUILA;GARZON;PARTICULAR
KAA000;KAJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KBA000;KBJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KCA000;KCJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KDA000;KDJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KEA000;KEJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KFA000;KFJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
KGJ000;KGJ101;ANTIOQUIA;MEDELLIN;PARTICULAR
KGJ501;KGJ999;CUNDINAMARCA;MINISTERIO T;PARTICULAR
KGK000;KGK100;CAUCA;MIRANDA;PARTICULAR
KUK000;KUN999;VALLE;GUACARI;PARTICULAR
LAA000;LCH999;ANTIOQUIA;BELLO;PARTICULAR
LDA000;LDJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
LDK000;LDU999;CESAR;VALLEDUPAR;PARTICULAR
LDV000;LDZ999;ANTIOQUIA;LA ESTRELLA;PARTICULAR
LEA000;LEJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
LET000;LET499;AMAZONAS;LETICIA;PARTICULAR
LFA000;LFD999;ANTIOQUIA;BELLO;PARTICULAR
LFE000;LFE700;ANTIOQUIA;BOLIVAR;PARTICULAR
LFJ001;LFJ999;ANTIOQUIA;BELLO;PARTICULAR
LGC000;LGD400;ANTIOQUIA;RIONEGRO;PARTICULAR
LGG000;LGG200;ANTIOQUIA;TURBO;PARTICULAR
LGG201;LGG900;ANTIOQUIA;BELLO;PARTICULAR
LGG901;LGH100;ANTIOQUIA;TURBO;PARTICULAR
LGH101;LGI999;ANTIOQUIA;TURBO;PARTICULAR
LGJ001;LGJ200;ANTIOQUIA;PUERTO BERRI;PARTICULAR
LGJ201;LGJ800;ANTIOQUIA;BELLO;PARTICULAR
LHA000;LHA200;ANTIOQUIA;YARUMAL;PARTICULAR
LHA501;LHA999;CUNDINAMARCA;MINISTERIO T;PARTICULAR
LHG000;LHI999;ANTIOQUIA;MEDELLIN;PARTICULAR
LHJ001;LHJ999;ANTIOQUIA;YARUMAL;PARTICULAR
LIA000;LID000;ANTIOQUIA;MEDELLIN;PARTICULAR
LIJ000;LIJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
LIN000;LIO499;TOLIMA;LIBANO;PARTICULAR
LIW000;LIW499;CUNDINAMARCA;MINISTERIO T;PARTICULAR
LKA000;LKJ999;ANTIOQUIA;ITAGUI;PARTICULAR
LLA000;LLJ999;ANTIOQUIA;ITAGUI;PARTICULAR
LMA000;LMA000;ANTIOQUIA;ITAGUI;PARTICULAR
LMA001;LMD999;ANTIOQUIA;ITAGUI;PARTICULAR
LME000;LMI999;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
LMJ000;LMJ999;ANTIOQUIA;ITAGUI;PARTICULAR
LNA000;LNA251;ANTIOQUIA;BELLO;PARTICULAR
LNA252;LNB150;ANTIOQUIA;ITAGUI;PARTICULAR
LNJ001;LNJ999;ANTIOQUIA;BELLO;PARTICULAR
LOK000;LOK999;CORDOBA;LORICA;PARTICULAR
LOL000;LOL999;CORDOBA;SAHAGUN;PARTICULAR
LSK000;LSL999;SANTANDER;BARBOSA;PARTICULAR
LTA000;LTC999;CUNDINAMARCA;VILLETA;PARTICULAR
LUA000;LUF999;VALLE;TULUA;PARTICULAR
LVA000;LVJ999;META;VILLAVICENCI;PARTICULAR
LVK000;LVK999;ANTIOQUIA;BOLIVAR;PARTICULAR
LVL000;LVN999;META;VILLAVICENCI;PARTICULAR
LVO000;LVU999;ANTIOQUIA;BOLIVAR;PARTICULAR
LWA000;LWJ999;ANTIOQUIA;ENVIGADO;PARTICULAR
LXA000;LXJ999;ANTIOQUIA;ENVIGADO;PARTICULAR
LYA000;LYF300;ANTIOQUIA;ENVIGADO;PARTICULAR
LYF301;LYH300;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
LYH301;LYI000;ANTIOQUIA;ENVIGADO;PARTICULAR
LYJ000;LYJ999;ANTIOQUIA;ENVIGADO;PARTICULAR
LZE000;LZE625;ANTIOQUIA;ANDES;PARTICULAR
MAA000;MAJ999;VALLE;CALI;PARTICULAR
MAK000;MAT999;CALDAS;MANIZALES;PARTICULAR
MAV000;MAV499;CALDAS;MANZANARES;PARTICULAR
MBA000;MBJ999;VALLE;CALI;PARTICULAR
MCA000;MCJ999;VALLE;CALI;PARTICULAR
MCK000;MCK499;PUTUMAYO;MOCOA;PARTICULAR
MDA000;MDF500;VALLE;CALI;PARTICULAR
MDJ000;MDJ999;VALLE;CALI;PARTICULAR
MDK000;MEJ999;ANTIOQUIA;MEDELLIN;PARTICULAR
MEK000;MEK999;TOLIMA;MELGAR;PARTICULAR
MEL000;MFR000;ANTIOQUIA;MEDELLIN;PARTICULAR
MGA000;MGA499;SANTANDER;MALAGA;PARTICULAR
MGA500;MGT999;SANTANDER;MALAGA;PARTICULAR
MGU000;MGU499;BOLIVAR;MAGANGUE;PARTICULAR
MLA000;MNH999;ANTIOQUIA;MEDELLIN;PARTICULAR
MOA000;MOA499;BOYACA;MONIQUIRA;PARTICULAR
MOA500;MOI999;BOYACA;MONIQUIRA;PARTICULAR
MOJ000;MOJ999;BOLIVAR;MOMPOX;PARTICULAR
MQA000;MRO999;CUNDINAMARCA;MOSQUERA;PARTICULAR
MRQ000;MRQ999;TOLIMA;MARIQUITA;PARTICULAR
MRS000;MRW999;TOLIMA;MELGAR;PARTICULAR
MTA000;MTL999;CORDOBA;MONTERIA;PARTICULAR
MZA000;MZO999;CALDAS;MANIZALES;PARTICULAR
MZP000;MZZ999;CALDAS;VILLAMARIA;PARTICULAR
NAA000;NAZ999;CALDAS;MANIZALES;PARTICULAR
NBA000;NBJ999;VALLE;CALI;PARTICULAR
NCA000;NCJ999;VALLE;CALI;PARTICULAR
NDA000;NDA999;CAUCA;PUERTO TEJAD;PARTICULAR
NDB000;NDC750;VALLE;ZARZAL;PARTICULAR
NDJ001;NDJ999;CAUCA;PUERTO TEJAD;PARTICULAR
NEA000;NEJ999;VALLE;CALI;PARTICULAR
NFA000;NFJ999;VALLE;PALMIRA;PARTICULAR
NGA000;NGC500;VALLE;PALMIRA;PARTICULAR
NGJ000;NGJ999;VALLE;PALMIRA;PARTICULAR
NKK000;NKQ499;VALLE;BUGA;PARTICULAR
NLA000;NLA999;VALLE;ROLDANILLO;PARTICULAR
NLJ001;NLJ999;VALLE;ROLDANILLO;PARTICULAR
NMA000;NMD400;VALLE;CARTAGO;PARTICULAR
NMD401;NME000;VALLE;CALI;PARTICULAR
NME001;NMF100;VALLE;CARTAGO;PARTICULAR
NMF101;NMF599;CUNDINAMARCA;MINISTERIO T;PARTICULAR
NMJ001;NMJ999;VALLE;CARTAGO;PARTICULAR
NNE000;NNF433;VALLE;BUENAVENTURA;PARTICULAR
NOA000;NOB500;VALLE;SEVILLA;PARTICULAR
NOB501;NOC500;VALLE;CALI;PARTICULAR
NOJ001;NOJ999;VALLE;SEVILLA;PARTICULAR
NOT000;NOV999;BOYACA;NOBSA;PARTICULAR
NPA000;NPE500;VALLE;TULUA;PARTICULAR
NPJ001;NPJ999;VALLE;TULUA;PARTICULAR
NRA000;NRZ999;CAUCA;S. QUILICHAO;PARTICULAR
NSE000;NSI999;VALLE;BUGA;PARTICULAR
NTA000;NTA000;VALLE;PALMIRA;PARTICULAR
NTJ000;NTJ719;VALLE;BUGA;PARTICULAR
NTJ801;NTJ999;VALLE;PALMIRA;PARTICULAR
NTU000;NTV499;VALLE;BUENAVENTURA;PARTICULAR
NVA000;NVJ999;NARINO;PASTO;PARTICULAR
NVK000;NVV999;HUILA;NEIVA;PARTICULAR
NWA000;NWB360;NARINO;PASTO;PARTICULAR
NWJ000;NWJ999;NARINO;PASTO;PARTICULAR
OAA000;OAJ999;BOGOTAD.E.;BOGOTA D.E.;OFICIAL
OAK000;OAO999;NARINO;PASTO;OFICIAL
OAP000;OAP999;CUNDINAMARCA;MINISTERIO T;OFICIAL
OAQ000;OAV999;NARIÑO;INUES;OFICIAL
OAW000;OAW999;CASANARE;YOPAL;OFICIAL
OAX000;OAZ999;ANTIOQUIA;LA CEJA;OFICIAL
OBA000;OBI999;BOGOTAD.E.;BOGOTA D.E.;OFICIAL
OBJ000;OBJ480;BOGOTAD.E.;BOGOTA D.E.;OFICIAL
OBJ481;OBJ999;BOGOTAD.E.;BOGOTA D.E.;OFICIAL
OBK000;OBP999;VALLE;JAMUNDI;OFICIAL
OBQ001;OBQ999;BOLIVAR;TURBACO;OFICIAL
OBR000;OBV999;SUCRE;SINCELEJO;OFICIAL
OBW000;OBZ999;NARINO;SAMANIEGO;OFICIAL
OCA000;OCA099;RISARALDA;DOS QUEBRADA;OFICIAL
OCN000;OCN999;VALLE;CANDELARIA;OFICIAL
OCO000;OCT999;NARIÑO;BUESACO;OFICIAL
OCU000;OCU999;BOYACA;CHIQUINQUIRA;OFICIAL
OCV000;OCW999;BOLIVAR;SAN JUANNEP;OFICIAL
OCX000;OCZ999;NARINO;TUMACO;OFICIAL
ODA000;ODA999;CAUCA;S. QUILICHAO;OFICIAL
ODK000;ODL999;VALLE;LA UNION;OFICIAL
ODM000;ODM999;NARIÑO;GUACHUCAL;OFICIAL
ODN000;ODP999;NARINO;SANDONA;OFICIAL
ODV000;ODX999;MAGDALENA;CIENAGA;OFICIAL
ODY000;ODY999;VALLE;ANDALUCIA;PUBLICO
ODZ000;ODZ999;NARIÑO;PUPIALES;OFICIAL
OEA000;OEB999;TOLIMA;ESPINAL;OFICIAL
OEK000;OEN999;VALLE;EL CERRITO;OFICIAL
OEO000;OEP999;BOYACA;COMBITA;OFICIAL
OEQ000;OER999;BOLIVAR;CLEMENCIA;OFICIAL
OEV000;OEV999;BOYACA;NOBSA;OFICIAL
OEW000;OEX999;TOLIMA;LIBANO;OFICIAL
OEY000;OEZ999;RISARALDA;DOS QUEBRADA;OFICIAL
OFA000;OFA999;CUNDINAMARCA;FUSAGASUGA;OFICIAL
OFJ001;OFJ199;CUNDINAMARCA;MOSQUERA;OFICIAL
OFJ200;OFJ249;CUNDINAMARCA;UBATE;OFICIAL
OFJ250;OFJ299;CUNDINAMARCA;UBATE;OFICIAL
OFJ400;OFJ609;CASANARE;YOPAL;OFICIAL
OFJ610;OFJ999;CASANARE;YOPAL;OFICIAL
OFK001;OFK999;CUNDINAMARCA;MOSQUERA;OFICIAL
OFL000;OFL999;VALLE;FLORIDA;OFICIAL
OFM000;OFR999;CUNDINAMARCA;MOSQUERA;OFICIAL
OFS000;OFS999;SANTANDER;FLORIDABLANC;OFICIAL
OFT000;OFT999;CUNDINAMARCA;UBATE;OFICIAL
OFU000;OFU999;CUNDINAMARCA;PACHO;OFICIAL
OFV000;OFY999;CUNDINAMARCA;RICAURTE;OFICIAL
OFZ000;OFZ999;CUNDINAMARCA;UBATE;OFICIAL
OGA001;OGA050;VALLE;CAICEDONIA;OFICIAL
OGA051;OGA100;VALLE;CAICEDONIA;OFICIAL
OGA201;OGA300;BOYACA;SOGAMOSO;OFICIAL
OGA301;OGA400;CUNDINAMARCA;MOSQUERA;OFICIAL
OGA401;OGB500;VALLE;CALI;OFICIAL
OGB501;OGB525;BOYACA;MONIQUIRA;OFICIAL
OGB601;OGB650;ANTIOQUIA;CAUCASIA;OFICIAL
OGF000;OGF029;BOYACA;SOATA;OFICIAL
OGF030;OGF079;BOYACA;SOATA;OFICIAL
OGF080;OGG525;BOYACA;SOATA;OFICIAL
OGG526;OGG575;BOYACA;MONIQUIRA;OFICIAL
OGJ001;OGJ020;NARINO;IPIALES;OFICIAL
OGJ021;OGJ999;NARINO;IPIALES;OFICIAL
OGK000;OGK999;VALLE;GUACARI;OFICIAL
OGL000;OGP999;TOLIMA;ALVARADO;OFICIAL
OGQ000;OGQ999;BOLIVAR;ARJONA;OFICIAL
OGR000;OGV999;TOLIMA;ROVIRA;OFICIAL
OGW000;OGW999;SANTANDER;GIRON;OFICIAL
OGX000;OGZ999;SUCRE;SAMPUES;OFICIAL
OHK000;OHL999;CUNDINAMARCA;LA CALERA;OFICIAL
OHM000;OHM999;CUNDINAMARCA;LA CALERA;OFICIAL
OIA000;OIA070;CUNDINAMARCA;CAQUEZA;OFICIAL
OIA071;OIA999;CUNDINAMARCA;CAQUEZA;OFICIAL
OIB000;OIB220;CUNDINAMARCA;FACATATIVA;OFICIAL
OIB221;OIB999;CUNDINAMARCA;FACATATIVA;OFICIAL
OIC000;OIC999;CUNDINAMARCA;FACATATIVA;OFICIAL
OIE000;OIE069;CUNDINAMARCA;FUSAGASUGA;OFICIAL
OIE070;OIF999;CUNDINAMARCA;FUSAGASUGA;OFICIAL
OIG000;OIG119;CUNDINAMARCA;GIRARDOT;OFICIAL
OIG120;OIG219;CUNDINAMARCA;GIRARDOT;OFICIAL
OIG220;OIG319;CUNDINAMARCA;CHIA;OFICIAL
OIG320;OII999;BOYACA;MONIQUIRA;OFICIAL
OIJ001;OIJ050;CUNDINAMARCA;VILLETA;OFICIAL
OIJ051;OIJ100;CUNDINAMARCA;VILLETA;OFICIAL
OIK000;OIK999;CUNDINAMARCA;VILLETA;OFICIAL
OIL000;OIL999;CUNDINAMARCA;CHIA;OFICIAL
OIM000;OIN999;INT DEL CAQU;EL PAUJIL;OFICIAL
OIO000;OIP999;CAQUETA;BELEN ANDAQU;OFICIAL
OIQ000;OIQ999;ANTIOQUIA;URRAO;OFICIAL
OIR000;OIS999;CESAR;ROBLES (LA P;OFICIAL
OIT000;OIU999;CESAR;BOSCONIA;OFICIAL
OIV000;OIW999;CUNDINAMARCA;CHIA;OFICIAL
OIX000;OIZ999;META;ACACIAS;OFICIAL
OJE000;OJF300;CUNDINAMARCA;ZIPAQUIRA;OFICIAL
OJF301;OJG600;CUNDINAMARCA;ZIPAQUIRA;OFICIAL
OJG601;OJI999;CUNDINAMARCA;ZIPAQUIRA;OFICIAL
OJJ001;OJJ650;CUNDINAMARCA;SOACHA;OFICIAL
OJJ651;OJK999;CUNDINAMARCA;SOACHA;OFICIAL
OJL000;OJL999;CUNDINAMARCA;ZIPAQUIRA;OFICIAL
OJQ000;OJS999;META;GRANADA;OFICIAL
OJT000;OJV999;META;RESTREPO;OFICIAL
OKA000;OKA249;ANTIOQUIA;BELLO;OFICIAL
OKA270;OKA999;ANTIOQUIA;BELLO;OFICIAL
OKB000;OKB999;TOLIMA;HONDA;OFICIAL
OKC000;OKC129;ANTIOQUIA;BOLIVAR;OFICIAL
OKC130;OKC299;ANTIOQUIA;BOLIVAR;OFICIAL
OKC300;OKC999;ANTIOQUIA;LA ESTRELLA;OFICIAL
OKD000;OKD149;ANTIOQUIA;ENVIGADO;OFICIAL
OKD150;OKD299;ANTIOQUIA;ENVIGADO;OFICIAL
OKE000;OKE270;ANTIOQUIA;ITAGUI;OFICIAL
OKE271;OKE999;ANTIOQUIA;ITAGUI;OFICIAL
OKJ001;OKJ025;ANTIOQUIA;ANDES;OFICIAL
OKJ026;OKJ075;ANTIOQUIA;ANDES;OFICIAL
OKJ500;OKJ524;ANTIOQUIA;APARTADO;OFICIAL
OKJ525;OKJ579;ANTIOQUIA;APARTADO;OFICIAL
OKJ700;OKJ730;ANTIOQUIA;TURBO;OFICIAL
OKJ731;OKJ780;ANTIOQUIA;TURBO;OFICIAL
OKJ800;OKJ849;ANTIOQUIA;PUERTO BERRI;OFICIAL
OKJ850;OKJ899;ANTIOQUIA;PUERTO BERRI;OFICIAL
OKJ900;OKJ959;ANTIOQUIA;RIONEGRO;OFICIAL
OKK000;OKK099;ANTIOQUIA;YARUMAL;OFICIAL
OKL000;OKM999;ANTIOQUIA;ENVIGADO;OFICIAL
OKN000;OKN999;CORDOBA;PLANETA RICA;OFICIAL
OKO000;OKT999;ANTIOQUIA;BELLO;OFICIAL
OKU000;OKW999;ANTIOQUIA;SABANETA;OFICIAL
OKX300;OKX999;QUINDIO;CIRCASIA;OFICIAL
OKY000;OKY100;CAUCA;MIRANDA;OFICIAL
OLA000;OLD550;ANTIOQUIA;MEDELLIN;OFICIAL
OLD551;OLI050;ANTIOQUIA;MEDELLIN;OFICIAL
OLJ001;OLJ999;ANTIOQUIA;MEDELLIN;OFICIAL
OLK000;OLK999;BOYACA;PAIPA;OFICIAL
OLX000;OLZ999;MAGDALENA;ARACATACA;OFICIAL
OMA000;OMA999;ANTIOQUIA;STA ROSAD O;OFICIAL
OME000;OMG699;ANTIOQUIA;MEDELLIN;OFICIAL
OMG700;OMH699;ANTIOQUIA;MEDELLIN;OFICIAL
OMK000;OML999;ANTIOQUIA;MEDELLIN;OFICIAL
OMM000;OMM999;BOYACA;MIRAFLORES;OFICIAL
OMT000;OMY999;NARINO;TUQUERRES;OFICIAL
OMZ000;OMZ999;ANTIOQUIA;SABANETA;OFICIAL
ONA000;ONC999;VALLE;CALI;OFICIAL
OND000;OND999;SANTANDER;FLORIDABLANC;OFICIAL
ONE000;ONG430;VALLE;CALI;OFICIAL
ONG431;ONI999;VALLE;CALI;OFICIAL
ONJ000;ONJ999;QUINDIO;ARMENIA;OFICIAL
ONK000;ONL430;VALLE;CALI;OFICIAL
OOA000;OOA999;VALLE;CALI;OFICIAL
OOB000;OOB999;VALLE;BUGA;OFICIAL
OOC000;OOC999;VALLE;BUGA;OFICIAL
OOD000;OOD199;VALLE;CARTAGO;OFICIAL
OOD200;OOD219;VALLE;CARTAGO;OFICIAL
OOE000;OOF999;VALLE;PALMIRA;OFICIAL
OOG000;OOG049;VALLE;ROLDANILLO;OFICIAL
OOG050;OOG099;VALLE;ROLDANILLO;OFICIAL
OOH000;OOH149;VALLE;SEVILLA;OFICIAL
OOH150;OOH299;VALLE;SEVILLA;OFICIAL
OOI000;OOI100;VALLE;TULUA;OFICIAL
OOI101;OOI999;VALLE;TULUA;OFICIAL
OOJ001;OOJ400;VALLE;BUENAVENTURA;OFICIAL
OOJ401;OOJ800;VALLE;BUENAVENTURA;OFICIAL
OOJ801;OOJ999;VALLE;CALI;OFICIAL
OOK000;OOL499;VALLE;PALMIRA;OFICIAL
OOM000;OOM999;BOLIVAR;CARTAGENA;OFICIAL
OOQ000;OOQ999;CHOCO;QUIBDO;OFICIAL
OPA000;OPJ999;CUNDINAMARCA;MINISTERIO T;OFICIAL
OPK000;OPM999;ATLANTICO;MALAMBO;OFICIAL
OPN000;OPO999;ATLANTICO;GALAPA;OFICIAL
OPP000;OPP999;HUILA;LA PLATA;OFICIAL
OPQ000;OPR999;VALLE;LA UNION;OFICIAL
OPS000;OPU999;ATLANTICO;PUERTO COLOM;OFICIAL
OQC001;OQC030;SANTANDER;S VICEN CHUC;OFICIAL
OQC031;OQC080;SANTANDER;S VICEN CHUC;OFICIAL
OQC501;OQC600;QUINDIO;CALARCA;OFICIAL
OQD401;OQD450;TOLIMA;MELGAR;OFICIAL
OQD451;OQD800;HUILA;TARQUI;OFICIAL
OQD801;OQD825;CHOCO;QUIBDO;OFICIAL
OQD826;OQD999;CUNDINAMARCA;CHOCONTA;OFICIAL
OQE000;OQE299;CORDOBA;MONTERIA;OFICIAL
OQE300;OQE599;CAUCA;POPAYAN;OFICIAL
OQE600;OQE999;MAGDALENA;SANTA MARTA;OFICIAL
OQF000;OQF299;BOYACA;TUNJA;OFICIAL
OQF300;OQF999;META;VILLAVICENCI;OFICIAL
OQJ001;OQJ050;VALLE;ZARZAL;OFICIAL
OQJ051;OQJ400;VALLE;ZARZAL;OFICIAL
OQN000;OQN999;ATLANTICO;BARRANQUILLA;OFICIAL
OQO000;OQO999;CUNDINAMARCA;CHOCONTA;OFICIAL
OQS000;OQS999;SANTANDER;S VICEN CHUC;OFICIAL
OQT000;OQT999;TOLIMA;MELGAR;OFICIAL
ORA000;ORA320;ATLANTICO;BARRANQUILLA;OFICIAL
ORA321;ORB620;ATLANTICO;BARRANQUILLA;OFICIAL
ORJ001;ORJ999;ATLANTICO;BARRANQUILLA;OFICIAL
ORK000;ORM999;CHOCO;ISTMINA;OFICIAL
ORO000;ORP999;CAUCA;TIMBIO;OFICIAL
OSA000;OSA121;SANTANDER;BUCARAMANGA;OFICIAL
OSA122;OSB321;SANTANDER;BUCARAMANGA;OFICIAL
OSD000;OSD149;SANTANDER;BARBOSA;OFICIAL
OSD150;OSD299;SANTANDER;BARBOSA;OFICIAL
OSD500;OSE299;ATLANTICO;BARRANQUILLA;OFICIAL
OSE300;OSE450;SANTANDER;SAN GIL;OFICIAL
OSE451;OSE600;SANTANDER;SAN GIL;OFICIAL
OSE601;OSE999;CASANARE;YOPAL;OFICIAL
OSF000;OSF110;SANTANDER;SOCORRO;OFICIAL
OSF111;OSF210;SANTANDER;SOCORRO;OFICIAL
OSF500;OSF690;SANTANDER;MALAGA;OFICIAL
OSF691;OSF890;SANTANDER;MALAGA;OFICIAL
OSF891;OSF999;SANTANDER;MALAGA;OFICIAL
OSG000;OSG550;META;VILLAVICENCI;OFICIAL
OSG571;OSH070;META;VILLAVICENCI;OFICIAL
OSJ001;OSJ999;SANTANDER;BUCARAMANGA;OFICIAL
OSK000;OSL999;SANTANDER;BARRANCABERM;OFICIAL
OSR000;OSR999;CORDOBA;CHINU;OFICIAL
OSS000;OSS999;CORDOBA;CERETE;OFICIAL
OSU000;OSY999;SANTANDER;PIEDECUESTA;OFICIAL
OTA000;OTA290;NARINO;PASTO;OFICIAL
OTA291;OTB590;NARINO;PASTO;OFICIAL
OTC000;OTC045;QUINDIO;ARMENIA;OFICIAL
OTC046;OTC095;TOLIMA;GUAYABAL;OFICIAL
OTC100;OTC130;TOLIMA;ESPINAL;OFICIAL
OTC131;OTC199;TOLIMA;ESPINAL;OFICIAL
OTC200;OTC250;TOLIMA;HONDA;OFICIAL
OTC251;OTC300;TOLIMA;HONDA;OFICIAL
OTC301;OTD520;TOLIMA;IBAGUE;OFICIAL
OTD521;OTD570;TOLIMA;LERIDA;OFICIAL
OTD571;OTE870;TOLIMA;IBAGUE;OFICIAL
OTI300;OTI319;TOLIMA;FRESNO;OFICIAL
OTI320;OTI374;TOLIMA;FRESNO;OFICIAL
OTI400;OTI449;TOLIMA;MARIQUITA;OFICIAL
OTI450;OTI499;TOLIMA;MARIQUITA;OFICIAL
OTI500;OTI525;TOLIMA;GUAMO;OFICIAL
OTI526;OTI580;TOLIMA;GUAMO;OFICIAL
OTI600;OTI649;TOLIMA;CHAPARRAL;OFICIAL
